type,fic_id,author,title,words,published,status,chapters,pages,runtime,rating,category,fandom,relationship,character,warning,freeform,url,start_date,end_date,reading_status
ao3,61766950,['enbaisant (enpleurs)'],to the world we dream about (and the one we live in now),"1,851",2024-12-29,oneshot,1/1,nan,nan,['Explicit'],['M/M'],"['VIXX', 'EXO (Band)']",['Jung Taekwoon | Leo/Kim Minseok | Xiumin'],[],['No Archive Warnings Apply'],"['Cuddling', ""i am never going to not make fun of taekwoon's flat ass"", ""also he's really tall""]",http://archiveofourown.org/works/61766950,nan,nan,nan
ao3,12005586,['enpleurs'],run with me (catch me if you can),"86,858",2017-09-13,Updated: 2017-09-13,3/3,nan,nan,['Mature'],['M/M'],['VIXX'],['Cha Hakyeon | N/Kim Wonshik | Ravi'],[],['No Archive Warnings Apply'],"['Side Pairing: Keo', 'Historical AU', 'see notes for warnings and other notes']",http://archiveofourown.org/works/12005586,nan,nan,nan
ao3,33751156,['enpleurs'],Until the Stars Die in Heaven,"195,838",2021-09-08,Updated: 2022-11-05,45/65,nan,nan,['Teen And Up Audiences'],['Gen'],['VIXX'],['Cha Hakyeon | N/Jung Taekwoon | Leo'],[],['Creator Chose Not To Use Archive Warnings'],"['Historical Fantasy', 'Platonic Relationships', 'see notes for warnings and further notes', 'Welcome Back Jung Taekwoon!', 'genre expected warnings', 'Soulmates', 'Season 2 In July 2022!', 'Updates Saturday!', 'Season 3 in 2023!']",http://archiveofourown.org/works/33751156,nan,nan,nan
ao3,6954559,['enpleurs'],when it rains (it pours),"29,784",2016-05-24,oneshot,1/1,nan,nan,['Explicit'],['M/M'],['INFINITE (Band)'],['Lee Sungyeol/Nam Woohyun'],[],['No Archive Warnings Apply'],"['AU', 'still not a college au']",http://archiveofourown.org/works/6954559,nan,nan,nan
ao3,6954559,['enpleurs'],NEW,"29,784",2016-05-24,oneshot,1/1,nan,nan,['Explicit'],['M/M'],['INFINITE (Band)'],['Lee Sungyeol/Nam Woohyun'],[],['No Archive Warnings Apply'],"['AU', 'still not a college au']",http://archiveofourown.org/works/6954559,nan,nan,nan
ao3,6954559,['enpleurs'],when it rains (it pours),"29,784",2016-05-24,oneshot,1/1,nan,nan,['Explicit'],['M/M'],['INFINITE (Band)'],['Lee Sungyeol/Nam Woohyun'],[],['No Archive Warnings Apply'],"['AU', 'still not a college au']",http://archiveofourown.org/works/6954559,nan,nan,nan
ao3,33751156,['enpleurs'],Until the Stars Die in Heaven,"195,838",2021-09-08,Updated: 2022-11-05,45/65,nan,nan,['Teen And Up Audiences'],['Gen'],['VIXX'],['Cha Hakyeon | N/Jung Taekwoon | Leo'],[],['Creator Chose Not To Use Archive Warnings'],"['Historical Fantasy', 'Platonic Relationships', 'see notes for warnings and further notes', 'Welcome Back Jung Taekwoon!', 'genre expected warnings', 'Soulmates', 'Season 2 In July 2022!', 'Updates Saturday!', 'Season 3 in 2023!']",http://archiveofourown.org/works/33751156,nan,nan,nan
ao3,33751156,['enpleurs'],Until the Stars Die in Heaven,"195,838",2021-09-08,Updated: 2022-11-05,45/65,nan,nan,['Teen And Up Audiences'],['Gen'],['VIXX'],['Cha Hakyeon | N/Jung Taekwoon | Leo'],[],['Creator Chose Not To Use Archive Warnings'],"['Historical Fantasy', 'Platonic Relationships', 'see notes for warnings and further notes', 'Welcome Back Jung Taekwoon!', 'genre expected warnings', 'Soulmates', 'Season 2 In July 2022!', 'Updates Saturday!', 'Season 3 in 2023!']",http://archiveofourown.org/works/33751156,nan,nan,nan
ao3,6954559,['enpleurs'],when it rains (it pours),"29,784",2016-05-24,oneshot,1/1,nan,nan,['Explicit'],['M/M'],['INFINITE (Band)'],['Lee Sungyeol/Nam Woohyun'],[],['No Archive Warnings Apply'],"['AU', 'still not a college au']",http://archiveofourown.org/works/6954559,nan,nan,nan
ao3,12005586,['enpleurs'],run with me (catch me if you can),"86,858",2017-09-13,Updated: 2017-09-13,3/3,nan,nan,['Mature'],['M/M'],['VIXX'],['Cha Hakyeon | N/Kim Wonshik | Ravi'],[],['No Archive Warnings Apply'],"['Side Pairing: Keo', 'Historical AU', 'see notes for warnings and other notes']",http://archiveofourown.org/works/12005586,nan,nan,nan
ao3,61766950,['enbaisant (enpleurs)'],to the world we dream about (and the one we live in now),"1,851",2024-12-29,oneshot,1/1,nan,nan,['Explicit'],['M/M'],"['VIXX', 'EXO (Band)']",['Jung Taekwoon | Leo/Kim Minseok | Xiumin'],[],['No Archive Warnings Apply'],"['Cuddling', ""i am never going to not make fun of taekwoon's flat ass"", ""also he's really tall""]",http://archiveofourown.org/works/61766950,nan,nan,nan
ao3,61766950,['enbaisant (enpleurs)'],to the world we dream about (and the one we live in now),"1,851",2024-12-29,oneshot,1/1,nan,nan,['Explicit'],['M/M'],"['VIXX', 'EXO (Band)']",['Jung Taekwoon | Leo/Kim Minseok | Xiumin'],[],['No Archive Warnings Apply'],"['Cuddling', ""i am never going to not make fun of taekwoon's flat ass"", ""also he's really tall""]",http://archiveofourown.org/works/61766950,nan,nan,nan
ao3,32262178,['enbaisant (enpleurs)'],dessert tastes best shared,"6,623",2021-06-30,oneshot,1/1,nan,nan,['Explicit'],['M/M'],['VIXX'],['Cha Hakyeon | N/Jung Taekwoon | Leo/Lee Jaehwan | Ken'],[],['No Archive Warnings Apply'],"['Prohibition Era', 'no historical accuracy just aesthetics', 'happy hakyeon day']",http://archiveofourown.org/works/32262178,nan,nan,nan
ao3,61766950,['enbaisant (enpleurs)'],to the world we dream about (and the one we live in now),"1,851",2024-12-29,oneshot,1/1,nan,nan,['Explicit'],['M/M'],"['VIXX', 'EXO (Band)']",['Jung Taekwoon | Leo/Kim Minseok | Xiumin'],[],['No Archive Warnings Apply'],"['Cuddling', ""i am never going to not make fun of taekwoon's flat ass"", ""also he's really tall""]",http://archiveofourown.org/works/61766950,nan,nan,nan
ao3,32262178,['enbaisant (enpleurs)'],dessert tastes best shared,"6,623",2021-06-30,oneshot,1/1,nan,nan,['Explicit'],['M/M'],['VIXX'],['Cha Hakyeon | N/Jung Taekwoon | Leo/Lee Jaehwan | Ken'],[],['No Archive Warnings Apply'],"['Prohibition Era', 'no historical accuracy just aesthetics', 'happy hakyeon day']",http://archiveofourown.org/works/32262178,nan,nan,nan
ao3,62384272,['enbaisant (enpleurs)'],the devil wears prada glasses,"2,033",2025-01-21,oneshot,1/1,nan,nan,['Explicit'],['M/M'],['VIXX'],['Han Sanghyuk | Hyuk/Jung Taekwoon | Leo'],[],['No Archive Warnings Apply'],"['yeet', 'Rough Sex']",http://archiveofourown.org/works/62384272,nan,nan,nan
ao3,32070109,['enbaisant (enpleurs)'],a second round,"3,406",2021-06-20,oneshot,1/1,nan,nan,['Explicit'],['M/M'],['VIXX'],['Cha Hakyeon | N/Jung Taekwoon | Leo/Lee Jaehwan | Ken'],[],['No Archive Warnings Apply'],"['pwp with feelings?', 'Cuddles', 'handjobs', 'i wrote this in a coffee shop', 'definitely still not a basketball au']",http://archiveofourown.org/works/32070109,nan,nan,nan
